Class,Â12,p-value,Dynamosa,RL-Dynamosa,Dynamosa Std,RL-Dynamosa Std
ipac.BinaryCalculate,0.315,0.037,84.289%,84.575%,0.427,0.370
net.kencochrane.a4j.file.FileUtil,0.445,0.56,69.077%,69.623%,1.067,1.337
com.ib.client.ComboLeg,0.5,1.0,93.750%,93.750%,0.000,0.000
src.Purchase,0.62,0.146,31.223%,31.178%,0.213,0.071
Capture,0.5,1.0,25.604%,25.648%,0.195,0.268
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0.5,1.0,78.718%,78.718%,0.000,0.000
com.jstevh.viewer.ClassInfo,0.675,0.004,81.450%,81.306%,0.320,0.097
com.allenstudio.ir.ui.MainMenu,0.5,1.0,90.762%,90.762%,0.000,0.000
org.saxpath.Axis,0.5,1.0,94.661%,94.661%,0.000,0.000
lotus.core.phases.Phase,0.5,1.0,65.179%,65.179%,0.000,0.000
teder.TederFrame,0.5,1.0,0.000%,0.000%,0.000,0.000
org.firebirdsql.encodings.EncodingFactory,0.0,4.68e-10,72.641%,83.330%,0.000,0.000
com.gbshape.dbe.sapdb.SapdbTableList,0.5,1.0,30.846%,30.846%,0.000,0.000
net.sf.xbus.base.core.reflection.XBUSClassLoader,0.5,1.0,26.052%,26.052%,0.000,0.000
jipa.Variable,0.521,0.794,94.077%,94.123%,0.153,0.181
net.sourceforge.beanbin.reflect.MethodReflectionCriteria,0.5,1.0,83.277%,83.306%,0.000,0.124
com.imsmart.servlet.HTMLFilter,0.5,1.0,99.569%,99.569%,0.000,0.000
org.jcvi.jillion.assembly.ca.frg.Distance,0.5,1.0,92.626%,92.626%,0.000,0.000
jipa.Main,0.402,0.297,75.991%,76.635%,1.667,2.212
org.javathena.login.parse.FromClient,0.475,0.342,26.295%,26.385%,0.000,0.268
jahuwaldt.plot.PlotDatum,0.5,1.0,96.858%,96.858%,0.000,0.000
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,0.565,0.49,71.747%,71.429%,0.879,0.790
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0.5,1.0,98.242%,98.242%,0.000,0.000
com.hf.sfm.crypt.Base64,0.5,1.0,89.378%,89.378%,0.000,0.000
de.outstare.fortbattleplayer.model.impl.SimpleSector,0.342,0.047,88.820%,89.053%,0.604,0.597
net.sourceforge.schemaspy.model.xml.TableMeta,0.5,1.0,91.071%,91.176%,0.000,0.454
