Class,Â12,p-value,Default_Mean,RL_Mean,Dynamosa Std,RL-Dynamosa Std
teder.TederFrame,0.5,1.0,1.000,1.000,0.000,0.000
de.huxhorn.lilith.data.access.AccessEvent,0.5,1.0,0.000,0.000,0.000,0.000
jipa.Variable,0.662,0.039,8.300,7.700,0.843,0.640
src.Purchase,0.46,0.58,25.000,25.150,0.949,0.357
net.sf.xbus.base.core.reflection.XBUSClassLoader,0.5,1.0,0.000,0.000,0.000,0.000
net.sf.sugar.fspath.FSPathResult,0.5,1.0,0.000,0.000,0.000,0.000
jaw.entrada.Abrir,0.5,1.0,4.000,4.000,0.000,0.000
dsachat.server.Handler,0.5,1.0,2.000,2.000,0.000,0.000
org.petsoar.order.CreditCardInfo,0.5,1.0,0.000,0.000,0.000,0.000
com.allenstudio.ir.ui.MainMenu,0.5,1.0,0.000,0.000,0.000,0.000
ipac.WhoIS,0.169,2.07e-04,2.750,3.900,1.220,0.700
net.sourceforge.beanbin.reflect.ReflectionSearch,0.5,1.0,5.000,5.100,0.000,0.436
org.fixsuite.message.view.TreeView,0.5,1.0,3.000,3.000,0.000,0.000
com.jstevh.viewer.SAXDirParser,0.5,1.0,4.000,4.000,0.000,0.000
com.pmdesigns.jvc.tools.JVCParserTokenManager,0.5,1.0,5.300,5.500,0.458,0.500
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0.5,1.0,0.000,0.000,0.000,0.000
org.templateit.Region,0.5,1.0,2.000,2.000,0.000,0.000
de.devcity.parseargs.ArgsParser,0.5,1.0,6.000,6.000,0.000,0.000
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0.5,1.0,3.000,3.000,0.000,0.000
Convert,0.5,1.0,6.000,6.000,0.000,0.000
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,0.5,1.0,48.000,48.000,0.000,0.000
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,0.562,0.443,5.400,5.300,0.583,0.557
bcry.bcGenerator,0.5,1.0,3.000,3.000,0.000,0.000
com.lts.swing.combobox.SimpleComboBox,0.419,0.363,6.500,6.350,1.688,1.108
org.javathena.login.parse.FromClient,0.5,1.0,3.000,3.000,0.000,0.000
com.densebrain.rif.server.transport.WebServiceDescriptor,0.5,1.0,0.000,0.000,0.000,0.000
fi.vtt.noen.testgen.observations.formatter.DaikonFormatter,0.275,8.52e-04,1.000,1.400,0.000,0.663
net.sf.xisemele.impl.OperationsHelperImpl,0.475,0.342,4.100,4.100,0.436,0.436
com.mytdev.resources4j.impl.AbstractResources,0.5,1.0,0.000,0.000,0.000,0.000
org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,0.5,1.0,0.000,0.000,0.000,0.000
net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,0.661,0.061,1.050,0.950,0.740,0.740
src.VassalRebellion,0.5,1.0,5.000,5.000,0.000,0.000
httpanalyzer.Password,0.5,1.0,4.000,4.000,0.000,0.000
jipa.Main,0.225,0.002,16.950,17.600,0.805,0.917
apbs_mem_gui.Main,0.5,1.0,2.000,2.000,0.000,0.000
Capture,0.575,0.08,3.000,2.950,0.000,0.218
org.objectweb.asm.jip.ClassReader,0.708,0.024,30.550,29.450,1.564,2.179
org.firebirdsql.jdbc.FBProcedureCall,0.286,0.014,21.550,22.450,0.805,0.589
